Time,Phi (degrees),Theta (degrees),Yaw (degrees)
5.65700,-4.17188,-3.87879,-126.46615
5.67900,-4.17693,-3.89372,-126.46238
5.70100,-4.18082,-3.89289,-126.45039
5.71300,-4.18048,-3.89474,-126.44466
5.73500,-4.18258,-3.89391,-126.43941
5.74700,-4.18346,-3.89301,-126.44204
5.76900,-4.18192,-3.89510,-126.41846
5.78100,-4.18307,-3.89866,-126.41316
5.80300,-4.18670,-3.90363,-126.42286
5.81528,-4.18757,-3.90513,-126.40572
5.83700,-4.19611,-3.90425,-126.41439
5.85900,-4.19252,-3.90510,-126.42238
5.87100,-4.19168,-3.90339,-126.40993
5.89300,-4.19180,-3.90832,-126.39626
5.90500,-4.19340,-3.90841,-126.38062
5.92700,-4.19510,-3.90750,-126.39471
5.93900,-4.19579,-3.90928,-126.39483
5.96100,-4.19454,-3.91061,-126.39448
5.98300,-4.19395,-3.90998,-126.40096
5.99500,-4.19738,-3.90969,-126.39629
6.01700,-4.19435,-3.91055,-126.40307
6.02900,-4.19424,-3.91348,-126.40282
6.05100,-4.19988,-3.91251,-126.39989
6.06300,-4.20360,-3.90865,-126.39192
6.08500,-4.20583,-3.90957,-126.39623
6.10700,-4.21159,-3.91105,-126.38964
6.11900,-4.20903,-3.90880,-126.39871
6.14100,-4.21422,-3.90368,-126.42225
6.15300,-4.21632,-3.90639,-126.41807
6.17500,-4.21945,-3.90085,-126.41570
6.18700,-4.22001,-3.90805,-126.44144
6.20900,-4.22585,-3.90264,-126.43860
6.22100,-4.22540,-3.90393,-126.43532
6.24300,-4.22859,-3.91053,-126.42046
6.26500,-4.23781,-3.90934,-126.43055
6.27700,-4.23859,-3.91260,-126.42844
6.29900,-4.24213,-3.90956,-126.41553
6.31100,-4.24031,-3.91327,-126.41014
6.33300,-4.24405,-3.92268,-126.42521
6.34500,-4.24436,-3.91569,-126.42391
6.36700,-4.24768,-3.93125,-126.41446
6.38900,-4.25290,-3.93047,-126.41116
6.40100,-4.25587,-3.92934,-126.40167
6.42300,-4.25793,-3.93289,-126.42271
6.43500,-4.25953,-3.92888,-126.42136
6.45700,-4.25769,-3.92636,-126.40368
6.46900,-4.25710,-3.92796,-126.40295
6.49100,-4.26159,-3.92774,-126.39330
6.51300,-4.25852,-3.92611,-126.40167
6.52500,-4.25803,-3.92677,-126.39249
6.54700,-4.26380,-3.92116,-126.39118
6.55900,-4.26407,-3.92392,-126.38538
6.58100,-4.27145,-3.91708,-126.34292
6.59300,-4.27452,-3.91912,-126.34190
6.61500,-4.26975,-3.92596,-126.34255
6.62700,-4.27099,-3.92547,-126.32930
6.64900,-4.27733,-3.92422,-126.35821
6.67100,-4.28071,-3.92921,-126.34826
6.68800,-4.28212,-3.93069,-126.33512
6.70000,-4.28312,-3.93373,-126.33183
6.72200,-4.28512,-3.94151,-126.34715
6.73400,-4.28654,-3.94058,-126.34587
6.75600,-4.28346,-3.94326,-126.35612
6.76800,-4.28424,-3.94595,-126.35296
6.79000,-4.28191,-3.94245,-126.34309
6.81200,-4.27798,-3.94542,-126.33514
6.82400,-4.27654,-3.94189,-126.33897
6.84600,-4.27589,-3.94092,-126.33488
6.85800,-4.27427,-3.94297,-126.34173
6.88000,-4.27715,-3.93513,-126.33353
6.89200,-4.27383,-3.93899,-126.32391
6.91400,-4.26378,-3.93245,-126.31923
