Time,Phi (degrees),Theta (degrees)
4.83300,-4.05383,-3.86353
4.84500,-4.05544,-3.86142
4.86700,-4.05657,-3.86571
4.88900,-4.06507,-3.86702
4.90100,-4.06637,-3.86512
4.92300,-4.07090,-3.87213
4.93500,-4.07168,-3.86994
4.95700,-4.07395,-3.86714
4.96900,-4.07229,-3.86761
4.99100,-4.07120,-3.87164
5.01300,-4.07719,-3.87398
5.02500,-4.08043,-3.87144
5.04700,-4.07953,-3.87180
5.05900,-4.08011,-3.87029
5.08100,-4.08682,-3.86932
5.09300,-4.08756,-3.86651
5.11500,-4.08734,-3.87313
5.12700,-4.08988,-3.87148
5.14900,-4.09711,-3.87298
5.17100,-4.10761,-3.87860
5.18300,-4.10919,-3.88011
5.20500,-4.11270,-3.87962
5.21700,-4.11724,-3.87920
5.23900,-4.11344,-3.87830
5.25100,-4.11518,-3.87984
5.27300,-4.11753,-3.88354
5.29500,-4.11644,-3.88300
5.30700,-4.11647,-3.88333
5.32900,-4.11758,-3.88152
5.34100,-4.12071,-3.88701
5.36300,-4.12185,-3.88889
5.37500,-4.12297,-3.88848
5.39700,-4.12483,-3.89141
5.41900,-4.12487,-3.88553
5.43100,-4.12263,-3.88963
5.45300,-4.13459,-3.88566
5.46500,-4.13623,-3.88104
5.48700,-4.14257,-3.88765
5.49900,-4.14409,-3.88810
5.52100,-4.15199,-3.88821
5.53300,-4.15457,-3.88929
5.55500,-4.15993,-3.88660
5.57700,-4.16293,-3.88473
5.58900,-4.16454,-3.88356
5.61100,-4.16499,-3.88074
5.62300,-4.16622,-3.87872
5.64500,-4.17220,-3.87997
5.65700,-4.17320,-3.88059
5.67900,-4.17824,-3.89553
5.70100,-4.18213,-3.89469
5.71300,-4.18179,-3.89654
5.73500,-4.18390,-3.89572
5.74700,-4.18477,-3.89481
5.76900,-4.18323,-3.89691
5.78100,-4.18438,-3.90047
5.80300,-4.18801,-3.90544
5.81528,-4.18889,-3.90694
5.83700,-4.19743,-3.90606
5.85900,-4.19383,-3.90691
5.87100,-4.19300,-3.90521
5.89300,-4.19311,-3.91014
5.90500,-4.19472,-3.91023
5.92700,-4.19641,-3.90932
5.93900,-4.19711,-3.91110
5.96100,-4.19586,-3.91244
5.98300,-4.19527,-3.91181
5.99500,-4.19870,-3.91151
6.01700,-4.19567,-3.91237
6.02900,-4.19556,-3.91530
6.05100,-4.20121,-3.91433
6.06300,-4.20492,-3.91048
6.08500,-4.20715,-3.91140
6.10700,-4.21291,-3.91288
6.11900,-4.21037,-3.91063
6.14100,-4.21561,-3.90552
6.15300,-4.21776,-3.90822
6.17500,-4.22100,-3.90269
6.18700,-4.22162,-3.90989
6.20900,-4.22762,-3.90450
6.22100,-4.22728,-3.90580
6.24300,-4.23068,-3.91243
6.26500,-4.24014,-3.91127
6.27700,-4.24107,-3.91455
6.29900,-4.24491,-3.91156
6.31100,-4.24326,-3.91530
6.33300,-4.24734,-3.92477
6.34500,-4.24783,-3.91782
6.36700,-4.25153,-3.93345
6.38900,-4.25716,-3.93275
6.40100,-4.26037,-3.93166
6.42300,-4.26288,-3.93530
6.43500,-4.26474,-3.93134
6.45700,-4.26339,-3.92890
6.46900,-4.26308,-3.93055
6.49100,-4.26811,-3.93042
6.51300,-4.26560,-3.92888
6.52500,-4.26542,-3.92959
6.54700,-4.27179,-3.92409
6.55900,-4.27240,-3.92690
6.58100,-4.28041,-3.92016
6.59300,-4.28385,-3.92225
6.61500,-4.27977,-3.92919
6.62700,-4.28139,-3.92876
6.64900,-4.28845,-3.92763
6.67100,-4.29258,-3.93273
6.68800,-4.29459,-3.93430
6.70000,-4.29601,-3.93741
6.72200,-4.29882,-3.94534
6.73400,-4.30068,-3.94448
6.75600,-4.29844,-3.94731
6.76800,-4.29968,-3.95009
6.79000,-4.29821,-3.94676
6.81200,-4.29515,-3.94990
6.82400,-4.29420,-3.94646
6.84600,-4.29444,-3.94565
6.85800,-4.29333,-3.94779
6.88000,-4.29713,-3.94011
6.89200,-4.29432,-3.94407
6.91400,-4.28523,-3.93770
6.93600,-4.28038,-3.93963
6.94800,-4.28183,-3.93901
6.97000,-4.28294,-3.93773
6.98200,-4.28470,-3.93718
7.00400,-4.28806,-3.93159
7.01600,-4.28828,-3.92981
7.03800,-4.28576,-3.92702
7.06000,-4.29504,-3.93137
7.07200,-4.29624,-3.92668
7.09400,-4.29036,-3.92306
7.10600,-4.28966,-3.92479
7.12800,-4.29199,-3.91699
7.14000,-4.29401,-3.91700
7.16200,-4.29056,-3.93104
7.17400,-4.29038,-3.93044
7.19600,-4.29626,-3.92391
7.21800,-4.29301,-3.92824
7.23000,-4.29081,-3.92479
7.25200,-4.29126,-3.92569
7.26400,-4.29413,-3.92631
7.28600,-4.29424,-3.91600
7.29800,-4.29322,-3.91659
7.32000,-4.29435,-3.91425
7.34200,-4.29819,-3.90963
7.35400,-4.30251,-3.91072
7.37600,-4.29600,-3.90714
7.38800,-4.29260,-3.90880
7.41000,-4.29371,-3.91073
7.42200,-4.29422,-3.90802
7.44400,-4.29894,-3.91114
7.46600,-4.30305,-3.90776
7.47800,-4.30500,-3.90786
7.50000,-4.30702,-3.91127
7.51200,-4.30849,-3.91118
7.53400,-4.30947,-3.90867
7.54600,-4.30428,-3.90915
7.56800,-4.30373,-3.90621
7.58000,-4.30346,-3.90842
7.60200,-4.31045,-3.90638
7.62400,-4.30908,-3.90694
7.63600,-4.30870,-3.90508
7.65800,-4.30998,-3.90680
7.67000,-4.31137,-3.90210
7.69200,-4.31255,-3.91024
7.70400,-4.31499,-3.90713
7.72600,-4.32289,-3.90679
7.74800,-4.32781,-3.90394
7.76000,-4.33129,-3.90326
7.78200,-4.32861,-3.90790
7.79400,-4.32858,-3.90586
7.81600,-4.32747,-3.90083
7.82800,-4.32772,-3.90485
7.85000,-4.33430,-3.89446
7.86200,-4.33146,-3.89562
7.88400,-4.33480,-3.90188
7.90600,-4.33888,-3.89951
7.91800,-4.34399,-3.89820
7.94000,-4.34530,-3.90245
7.95200,-4.34850,-3.89838
7.97400,-4.34844,-3.89461
7.98600,-4.34965,-3.89421
8.00800,-4.35044,-3.88546
8.03000,-4.35445,-3.89161
8.04200,-4.35100,-3.89026
8.06400,-4.34050,-3.89805
8.07600,-4.34055,-3.89723
8.09800,-4.34361,-3.89704
8.11000,-4.34406,-3.89294
8.13200,-4.34511,-3.89444
8.15400,-4.34803,-3.90161
8.16600,-4.35054,-3.90154
8.18800,-4.35454,-3.90173
8.20000,-4.35591,-3.90217
8.22200,-4.35566,-3.90546
8.23400,-4.35594,-3.90462
8.25600,-4.35554,-3.90161
8.26800,-4.35480,-3.90073
8.29000,-4.34971,-3.90724
8.31200,-4.35235,-3.90837
8.32400,-4.35147,-3.90609
8.34600,-4.35308,-3.90617
8.35800,-4.35295,-3.90542
8.38000,-4.35240,-3.91435
8.39200,-4.34900,-3.91889
8.41400,-4.35040,-3.92314
8.43600,-4.35052,-3.92878
8.44800,-4.34871,-3.92622
8.47000,-4.34582,-3.92881
8.48200,-4.34548,-3.93041
8.50400,-4.34756,-3.92668
8.51600,-4.34454,-3.92765
8.53800,-4.34444,-3.91712
8.56000,-4.34095,-3.91497
8.57200,-4.33618,-3.91913
8.59400,-4.34036,-3.90984
8.60600,-4.34083,-3.90966
8.62800,-4.34831,-3.91517
8.64000,-4.35079,-3.91413
8.66200,-4.34617,-3.91556
8.67400,-4.34403,-3.91566
8.70100,-4.33741,-3.91762
8.71300,-4.33583,-3.91825
8.73500,-4.33690,-3.91587
8.74700,-4.33721,-3.91498
8.76900,-4.34118,-3.92467
8.78100,-4.34060,-3.92515
8.80300,-4.34161,-3.92174
8.81500,-4.34122,-3.92399
8.83700,-4.34400,-3.91913
8.85900,-4.34660,-3.91133
8.87100,-4.34776,-3.91308
8.89300,-4.35089,-3.90247
8.90500,-4.34992,-3.90430
8.92700,-4.35972,-3.90333
8.93900,-4.36051,-3.90226
8.96100,-4.36783,-3.89881
8.98300,-4.36799,-3.89743
8.99500,-4.36885,-3.90262
9.01700,-4.36945,-3.89458
9.02900,-4.36982,-3.89929
9.05100,-4.37053,-3.90298
9.06300,-4.37011,-3.90317
9.08500,-4.36593,-3.91212
9.10700,-4.36551,-3.90979
9.11900,-4.37020,-3.90775
9.14100,-4.37001,-3.90599
9.15300,-4.37358,-3.90626
9.17500,-4.36307,-3.89761
9.18700,-4.35935,-3.89935
9.20900,-4.35665,-3.89945
9.22100,-4.35508,-3.89849
9.24300,-4.35669,-3.89877
9.26500,-4.35594,-3.89777
9.27700,-4.35407,-3.89887
9.29900,-4.35192,-3.89520
9.31100,-4.35388,-3.89480
9.33300,-4.35702,-3.89898
9.34500,-4.35439,-3.89749
9.36700,-4.36035,-3.89542
9.38900,-4.36240,-3.89868
9.40100,-4.36329,-3.90181
9.42300,-4.36406,-3.89762
9.43500,-4.36177,-3.89765
9.45700,-4.36268,-3.90222
9.46900,-4.36645,-3.90307
9.49100,-4.36439,-3.90388
9.50300,-4.36519,-3.90457
9.52500,-4.36295,-3.90478
9.54700,-4.36394,-3.91272
9.55900,-4.36117,-3.91378
9.58100,-4.35758,-3.90516
9.59300,-4.35489,-3.91355
9.61500,-4.35580,-3.90928
9.62700,-4.35475,-3.90953
9.64900,-4.36260,-3.90355
9.67100,-4.36686,-3.90405
9.68300,-4.36498,-3.90284
9.70500,-4.36511,-3.89961
9.71700,-4.36381,-3.89745
9.73900,-4.36396,-3.89451
9.75100,-4.36319,-3.89632
9.77300,-4.36618,-3.89302
9.79500,-4.37003,-3.89409
9.80700,-4.36981,-3.89361
