Time,Phi (degrees),Theta (degrees),Yaw (degrees)
3.56400,-1.87283,-3.36174,-146.77940
3.57600,-1.87599,-3.36877,-146.78508
3.59800,-1.87826,-3.36073,-146.80064
3.61000,-1.87605,-3.36130,-146.80563
3.63200,-1.87332,-3.36528,-146.83005
3.65400,-1.87497,-3.36871,-146.84468
3.66600,-1.87346,-3.36543,-146.84476
3.68800,-1.87742,-3.36742,-146.82748
3.70000,-1.87569,-3.36775,-146.82155
3.72200,-1.87884,-3.37145,-146.81139
3.73400,-1.87943,-3.36919,-146.80788
3.75600,-1.88250,-3.37310,-146.79184
3.77800,-1.88586,-3.36974,-146.79977
3.79000,-1.89061,-3.37054,-146.78261
3.81200,-1.88634,-3.36626,-146.79561
3.82400,-1.88452,-3.36146,-146.79150
3.84600,-1.88086,-3.36568,-146.79547
3.85800,-1.88233,-3.36029,-146.79698
3.88000,-1.88083,-3.36428,-146.82042
3.89200,-1.87983,-3.36594,-146.82268
3.91400,-1.87914,-3.37136,-146.82722
3.93600,-1.87880,-3.37298,-146.83302
3.94800,-1.87804,-3.37404,-146.83243
3.97000,-1.87337,-3.37003,-146.82820
3.98200,-1.87579,-3.37315,-146.83141
4.00400,-1.87422,-3.38146,-146.81091
4.01600,-1.87692,-3.37583,-146.80699
4.03800,-1.86521,-3.38714,-146.79410
4.06000,-1.86327,-3.38038,-146.80208
4.07200,-1.86301,-3.37727,-146.80725
4.09400,-1.85315,-3.37967,-146.82469
4.10600,-1.85445,-3.37615,-146.80823
4.12800,-1.85045,-3.37725,-146.80586
4.14000,-1.84867,-3.37509,-146.80421
4.16200,-1.84787,-3.37613,-146.81650
4.17400,-1.84868,-3.37816,-146.81129
4.19600,-1.85077,-3.37286,-146.77194
4.21800,-1.84895,-3.37867,-146.76016
4.23000,-1.84818,-3.38178,-146.75752
4.25200,-1.84780,-3.38239,-146.76265
4.26400,-1.84736,-3.38166,-146.75739
4.28600,-1.84355,-3.37490,-146.75972
4.29800,-1.84386,-3.37780,-146.75404
4.32000,-1.84024,-3.38065,-146.76109
4.34200,-1.84166,-3.37700,-146.73895
4.35400,-1.84092,-3.37934,-146.73482
4.37600,-1.84143,-3.38132,-146.73958
4.38800,-1.84076,-3.37755,-146.72591
4.41000,-1.84523,-3.37487,-146.73776
4.42200,-1.84885,-3.37610,-146.71825
4.44400,-1.85134,-3.36755,-146.71773
4.46600,-1.84758,-3.36574,-146.74738
4.47800,-1.84665,-3.36805,-146.75279
4.50000,-1.84526,-3.35648,-146.79042
4.51200,-1.84706,-3.35864,-146.78954
4.53400,-1.84224,-3.36561,-146.78183
4.54600,-1.84010,-3.36468,-146.78561
4.56800,-1.84557,-3.36332,-146.78725
4.58000,-1.84870,-3.35992,-146.79337
4.60200,-1.84481,-3.36308,-146.78255
4.62400,-1.84404,-3.37388,-146.78712
4.63600,-1.84673,-3.37050,-146.77563
4.65800,-1.84531,-3.37401,-146.76387
4.67000,-1.84561,-3.37665,-146.78326
4.68700,-1.84259,-3.36859,-146.79242
4.70900,-1.84524,-3.36907,-146.79115
4.72100,-1.84364,-3.37219,-146.80759
4.74300,-1.84823,-3.35928,-146.81656
4.76500,-1.84957,-3.36255,-146.81970
4.77700,-1.84438,-3.36172,-146.81163
4.79900,-1.84937,-3.36343,-146.81044
4.81100,-1.85092,-3.36712,-146.81479
4.83300,-1.84707,-3.36085,-146.80460
4.84500,-1.84646,-3.35842,-146.80396
4.86700,-1.84358,-3.36194,-146.79849
4.88900,-1.84843,-3.36283,-146.80952
4.90100,-1.84764,-3.36075,-146.80107
4.92300,-1.84840,-3.36720,-146.82068
4.93500,-1.84711,-3.36478,-146.82161
4.95700,-1.84537,-3.36108,-146.81264
4.96900,-1.84156,-3.36110,-146.80212
4.99100,-1.83658,-3.36475,-146.80135
5.01300,-1.83883,-3.36660,-146.82716
5.02500,-1.84017,-3.36398,-146.83296
5.04700,-1.83542,-3.36385,-146.84499
5.05900,-1.83397,-3.36197,-146.84662
5.08100,-1.83721,-3.36047,-146.87651
5.09300,-1.83598,-3.35740,-146.87427
5.11500,-1.83214,-3.36353,-146.87872
5.12700,-1.83279,-3.36167,-146.87082
5.14900,-1.83643,-3.36300,-146.86736
5.17100,-1.84362,-3.36824,-146.86269
5.18300,-1.84331,-3.36963,-146.86438
5.20500,-1.84340,-3.36905,-146.88422
5.21700,-1.84601,-3.36840,-146.87106
