Time,Phi (degrees),Theta (degrees),Yaw (degrees)
5.32900,-7.70433,22.66594,-12.03689
5.34100,-9.01698,22.93940,-11.58388
5.36300,-11.23320,23.31761,-10.75707
5.37500,-12.30217,23.47155,-10.23553
5.39700,-14.17079,23.56999,-9.27487
5.40900,-15.08772,23.41830,-8.87643
5.43100,-15.89722,22.36239,-8.72348
5.45300,-16.63706,21.08928,-8.59167
5.46500,-16.93065,20.47051,-8.54989
5.48700,-17.41809,19.35626,-8.50140
5.49900,-17.61188,18.86700,-8.49339
5.52100,-17.91703,18.17715,-8.50136
5.53300,-18.03730,17.91128,-8.53318
5.55500,-18.24312,17.61091,-8.61055
5.56700,-18.34015,17.53848,-8.65910
5.58900,-18.45374,17.66072,-8.74722
5.61100,-18.52215,17.88998,-8.82844
5.62300,-18.53821,18.05316,-8.87508
5.64500,-18.57489,18.32801,-8.95102
5.65700,-18.59784,18.46903,-8.98295
5.67900,-18.66303,18.65999,-9.02363
5.69100,-18.70246,18.71705,-9.03904
5.71300,-18.74721,18.87513,-9.05170
5.73500,-18.78170,18.99057,-9.07059
5.74700,-18.81016,19.00697,-9.07781
5.76900,-18.89059,18.98823,-9.07533
5.78100,-18.93152,18.98846,-9.06332
5.80300,-18.99863,18.98247,-9.03867
5.81500,-19.03226,18.99027,-9.01715
5.83700,-19.09619,19.04064,-8.97373
5.85900,-19.14870,19.09870,-8.92741
5.87100,-19.16342,19.10188,-8.91096
5.89300,-19.20925,19.07095,-8.87537
5.90500,-19.22306,19.04230,-8.86160
5.92700,-19.24762,18.95692,-8.83701
5.93900,-19.26723,18.90341,-8.82679
5.96100,-19.28864,18.85885,-8.80817
5.97300,-19.29155,18.85367,-8.80084
5.99500,-19.29424,18.86213,-8.78549
6.01700,-19.28361,18.89311,-8.77126
6.02900,-19.28528,18.91035,-8.75869
6.05100,-19.27327,18.97518,-8.72434
6.06300,-19.27678,19.06921,-8.68002
6.08500,-19.32825,19.24579,-8.55811
6.09700,-19.38149,19.33305,-8.47713
6.11900,-19.48164,19.64227,-8.27144
6.14100,-19.60105,20.00295,-8.05784
6.15300,-19.67884,20.14991,-7.95743
6.17500,-19.83781,20.31858,-7.79341
6.18700,-19.92908,20.34480,-7.70999
6.21400,-20.13977,20.30415,-7.54666
6.22600,-20.23836,20.26250,-7.47811
6.23800,-20.32434,20.21505,-7.43279
6.26000,-20.47038,20.14193,-7.35934
6.28200,-20.60248,20.07154,-7.29300
6.29400,-20.66714,20.03957,-7.25438
6.31600,-20.79415,19.96672,-7.19762
6.32800,-20.85215,19.92662,-7.17880
6.35000,-20.94233,19.88041,-7.15928
6.36200,-20.98670,19.85446,-7.15044
6.38400,-21.07941,19.84434,-7.11710
6.40600,-21.19841,19.80702,-7.08059
6.41800,-21.27975,19.76837,-7.05176
6.44000,-21.45850,19.69872,-6.98313
6.45200,-21.56292,19.66633,-6.94471
6.47400,-21.83232,19.66406,-6.84031
6.48600,-22.00204,19.68495,-6.77180
6.50800,-22.38572,19.74371,-6.62853
6.52000,-22.66617,19.81859,-6.53401
6.54200,-23.37244,19.97453,-6.28259
6.56400,-24.24454,20.23182,-5.92624
6.57600,-24.86698,20.38525,-5.62909
6.59800,-26.33000,20.68885,-4.84521
6.61000,-27.31326,20.81227,-4.28755
6.63200,-29.44138,20.90999,-3.06439
6.65400,-31.86780,20.87735,-1.63994
6.66600,-33.34375,20.78906,-0.78369
6.68800,-36.15086,20.48674,0.91834
6.70000,-37.65828,20.23832,1.85416
6.72200,-39.57129,19.38449,3.03344
6.73400,-40.21673,18.88764,3.37582
6.75600,-40.89206,18.32308,3.76866
6.76800,-41.03308,18.07321,3.83150
6.79000,-40.90099,17.71378,3.65932
6.80228,-40.57908,17.67199,3.45069
6.82400,-39.64025,17.71785,2.78855
6.84600,-38.26371,17.90112,1.82320
6.85800,-37.37089,18.01630,1.20861
6.88000,-35.38275,18.25706,-0.07172
6.89200,-34.11771,18.43672,-0.79579
6.91400,-31.49553,18.80959,-2.22753
6.93600,-28.64076,19.06292,-3.76135
6.94800,-27.14071,19.11379,-4.52967
6.97000,-24.41858,19.04760,-5.75706
6.98200,-23.03525,19.10859,-6.29046
7.00400,-20.61773,19.07975,-7.25365
7.01600,-19.22723,19.28814,-7.70755
7.03800,-16.57177,19.93219,-8.65559
7.05000,-15.11751,20.30591,-9.21182
7.07200,-12.48991,20.82186,-10.25170
7.09400,-9.90933,21.25214,-11.21508
7.10600,-8.32556,21.62250,-11.68753
7.12800,-5.38147,22.45422,-12.31541
7.14000,-3.98584,22.94518,-12.42499
7.16200,-1.68441,24.01148,-12.30848
7.17400,-0.48811,24.62502,-12.17244
7.19600,1.42677,25.79737,-11.80453
7.21800,3.23416,26.90089,-11.46605
7.23000,4.21280,27.31079,-11.34571
7.25200,5.72085,27.90202,-11.13114
7.26400,6.36903,28.19864,-11.02463
7.28600,7.38556,28.61654,-10.94156
7.29800,7.84863,28.76948,-10.98223
7.32000,8.67559,29.00220,-11.23858
7.33200,9.10098,29.05158,-11.43347
7.35400,9.72248,29.00960,-11.80448
7.37600,10.17622,28.91212,-12.13467
7.38800,10.33038,28.85174,-12.28412
7.41000,10.52604,28.72043,-12.54552
7.42200,10.65222,28.62253,-12.73225
7.44400,10.81621,28.36719,-13.18007
7.45600,10.86786,28.14675,-13.51337
7.47800,10.80142,27.59391,-14.31569
7.50000,10.54610,26.80005,-15.23680
7.51200,10.29060,26.32436,-15.78344
7.53400,9.56032,25.31248,-16.81787
7.54600,9.05443,24.72968,-17.34884
7.56800,7.20440,25.93334,-16.77843
7.58000,5.83751,26.06303,-15.80291
7.60200,3.30458,25.79481,-14.08168
7.61400,2.04759,25.60401,-13.38191
7.63600,-0.11613,24.94766,-12.57834
7.65800,-2.04087,24.20640,-12.02800
7.67000,-2.90988,23.98457,-11.72597
7.69200,-4.27004,24.01948,-11.14621
7.70400,-4.96282,24.25646,-10.93308
7.72600,-6.17963,25.17396,-10.71547
7.73800,-6.75754,25.74122,-10.63676
7.76000,-7.72678,26.78288,-10.39860
7.78200,-8.63304,27.73394,-10.11193
7.79400,-9.11129,28.03419,-9.96558
7.81600,-10.02769,28.48539,-9.73652
7.82800,-10.54893,28.69151,-9.61866
7.85000,-11.46931,28.98077,-9.33402
7.86200,-11.89520,29.20336,-9.19592
7.88400,-12.56413,29.55924,-9.08310
7.90600,-13.04386,29.83044,-8.97577
7.91800,-13.20922,29.99963,-8.95091
7.94000,-13.41276,30.25721,-8.92357
7.95200,-13.50762,30.31922,-8.90660
7.97400,-13.61106,30.33586,-8.86287
7.98600,-13.64252,30.33430,-8.82035
8.00800,-13.74175,30.18984,-8.70682
8.02000,-13.81030,30.01558,-8.59939
8.04200,-14.03194,29.43172,-8.33542
8.06400,-14.32399,28.48887,-8.02758
8.07600,-14.45547,27.87489,-7.86756
8.09800,-14.75178,26.59937,-7.56817
8.11000,-14.88270,25.85628,-7.44572
8.13200,-15.16687,24.38449,-7.28666
8.15400,-15.43684,22.83225,-7.20793
8.16600,-15.62238,21.91122,-7.20923
8.18800,-15.96883,19.96262,-7.26135
8.20000,-16.26529,18.79820,-7.32598
8.21700,-16.61973,17.42524,-7.36945
8.23900,-16.86912,16.42160,-7.39222
8.25100,-16.99450,16.12019,-7.41119
8.27300,-17.08606,15.81858,-7.43841
8.28500,-17.10049,15.71015,-7.45353
8.30700,-17.12382,15.56080,-7.47259
8.32900,-17.09703,15.42383,-7.48490
8.34100,-17.07663,15.35997,-7.49192
8.36300,-17.03514,15.23998,-7.50856
8.37500,-17.01441,15.19581,-7.51846
8.39700,-17.01523,15.13637,-7.53480
8.40900,-17.02123,15.10399,-7.54379
8.43100,-17.04656,15.04719,-7.55763
8.45300,-17.08895,14.96044,-7.56301
8.46500,-17.11816,14.90754,-7.56060
8.48700,-17.20900,14.80376,-7.54758
8.49900,-17.26695,14.75032,-7.53278
8.52100,-17.41108,14.62572,-7.50631
8.53300,-17.50809,14.55814,-7.48620
8.55500,-17.69121,14.42558,-7.43984
8.56700,-17.79496,14.36762,-7.41542
8.58900,-18.00864,14.26535,-7.36092
8.61100,-18.20783,14.23120,-7.32172
8.62300,-18.32228,14.25589,-7.30121
8.64500,-18.58417,14.31940,-7.25623
8.65700,-18.76897,14.36669,-7.22932
8.67900,-19.11851,14.55852,-7.14803
8.69100,-19.34466,14.71415,-7.08842
8.71300,-19.83117,15.01432,-6.93468
8.73500,-20.38803,15.31258,-6.75925
8.74700,-20.75235,15.47259,-6.64819
8.76900,-21.57402,15.74465,-6.38701
8.78100,-22.12453,15.89213,-6.20808
8.80300,-23.31079,16.23649,-5.73545
8.81500,-24.06722,16.38436,-5.40808
8.83700,-25.65862,16.74801,-4.60465
8.85900,-27.55704,16.95657,-3.61143
8.87100,-28.68726,17.01466,-2.97820
8.89300,-30.96794,17.01774,-1.75610
8.90500,-32.24453,17.07181,-1.06910
8.92700,-34.91727,16.80799,0.27022
8.93900,-36.39771,16.45183,0.90176
8.96100,-39.06755,15.66337,1.99694
8.97300,-40.10221,15.04578,2.36013
8.99500,-41.20155,13.95228,2.66242
9.01700,-41.71460,13.01199,2.79771
9.02900,-41.65599,12.61220,2.82099
9.05100,-41.23631,12.11139,2.74102
9.06300,-40.70351,12.02958,2.58353
9.08500,-39.28441,12.12650,2.03336
9.09700,-38.29548,12.33552,1.63880
9.11900,-36.12507,12.89079,0.71123
9.14100,-33.69709,13.56751,-0.37261
9.15300,-32.28628,13.97142,-1.01676
9.17500,-29.58556,14.72777,-2.26920
9.18700,-28.11176,15.15956,-2.95743
9.20900,-25.44136,15.89367,-4.24896
9.22100,-23.97249,16.21320,-5.00114
9.24300,-21.46883,16.47631,-6.36052
9.25500,-20.25602,16.30472,-7.08132
