Time,Phi (degrees),Theta (degrees),Yaw (degrees)
3.54700,26.99034,45.40162,-56.57570
3.55900,27.27380,46.38885,-56.25278
3.58100,27.82895,48.30593,-55.93236
3.60300,28.64660,50.89644,-55.87524
3.61500,28.69433,51.77203,-55.40963
3.63700,28.55194,52.75100,-54.39639
3.64900,28.26724,53.11642,-53.61380
3.67100,27.48495,53.86079,-51.89854
3.68300,27.02536,54.21533,-50.97257
3.70500,26.17187,55.03993,-49.34651
3.71700,25.76156,55.49962,-48.54376
3.73900,24.92686,56.16373,-47.23442
3.76100,23.80307,56.62475,-45.48005
3.77300,23.15224,56.88280,-44.42224
3.79500,21.71744,57.51769,-42.22676
3.81200,20.65067,58.08271,-40.72069
3.82400,19.85542,58.45823,-39.62275
3.84600,18.27597,59.02333,-37.38530
3.85800,17.47678,59.30227,-36.18037
3.88000,15.58048,59.65123,-33.56528
3.90200,13.46258,59.91628,-30.71370
3.91400,12.36009,60.12075,-29.31529
3.93600,10.10253,60.44777,-26.59310
3.94800,8.75262,60.55814,-25.00540
3.97000,6.47933,60.74934,-22.20678
3.98200,5.31378,60.88681,-20.73153
4.00400,3.55502,61.86779,-18.30654
4.02600,1.19596,62.08335,-15.38020
4.03800,-0.02692,62.16901,-13.93798
4.06000,-2.32873,62.44462,-11.24541
4.07200,-3.59017,62.53344,-9.77341
4.09400,-5.44307,62.71180,-7.44260
4.10600,-6.39304,62.66766,-6.27281
4.12800,-8.04487,62.67564,-4.24585
4.14000,-9.16976,62.74272,-2.96628
4.16200,-11.10225,62.66989,-0.64367
4.18400,-13.09837,62.46346,1.57297
4.19600,-14.11847,62.36585,2.63260
4.21800,-15.97682,61.92548,4.56356
4.23000,-16.83614,61.58587,5.51305
4.25200,-18.27896,60.94501,7.14382
4.27400,-19.73174,60.15780,8.76661
4.28600,-20.56001,59.82870,9.65530
4.30800,-21.96841,59.05547,11.20223
4.32000,-22.63095,58.66034,11.95331
4.34200,-23.79724,57.85614,13.41299
4.35400,-24.44162,57.48352,14.18445
4.37600,-25.66993,56.80745,15.64262
4.38800,-26.16536,56.35432,16.38397
4.41000,-27.05375,55.45939,17.69369
4.42200,-27.62813,54.97986,18.36748
4.44400,-29.11736,53.97926,19.84943
4.46600,-30.33907,52.70903,21.13472
4.47800,-30.89088,51.99633,21.64739
4.50000,-31.93521,50.84519,22.48110
4.51200,-32.57820,50.24934,22.97149
4.53400,-33.66991,49.09935,23.81839
4.54600,-34.10773,48.47989,24.20690
4.56800,-34.55294,47.09567,24.73809
4.59000,-34.95145,45.70095,25.25449
4.60200,-35.25436,45.05287,25.51868
4.62400,-36.03936,43.97141,26.11803
4.63600,-36.31940,43.34011,26.39303
4.65800,-36.67404,42.14384,26.82504
4.67000,-36.81865,41.52964,26.99852
4.69200,-36.95546,40.31939,27.20199
4.71400,-37.02331,39.03464,27.35557
4.72600,-37.05965,38.40725,27.40278
4.74800,-36.83513,37.25305,27.26461
4.76000,-36.59256,36.62376,27.12305
4.78200,-36.00995,35.55699,26.69056
4.79400,-35.70135,34.97744,26.42954
4.81600,-35.17482,33.75555,25.98795
4.82800,-34.80446,33.01210,25.74858
4.85000,-33.80756,31.60547,25.15218
4.87200,-32.88379,30.25169,24.58263
4.88400,-32.39001,29.50708,24.07550
4.90600,-31.46000,28.37577,23.04211
4.91800,-30.81156,27.55706,22.28245
4.94000,-29.68472,26.33027,21.20830
4.95200,-29.07775,25.65915,20.63484
4.97400,-27.90170,24.46261,19.63049
4.99600,-26.63155,23.02405,18.74017
5.00800,-25.91973,22.10561,18.20919
5.03000,-24.78166,20.36635,17.18926
5.04200,-24.17281,19.34591,16.58026
5.06400,-23.08570,17.51183,15.99603
5.07600,-22.45473,16.53448,15.76229
5.09800,-21.23071,15.18751,15.43114
5.11000,-20.51647,14.39797,15.24986
5.13200,-19.26471,13.17513,14.95435
