Time,Phi (degrees),Theta (degrees),Yaw (degrees)
3.60800,76.16041,-11.58219,74.86488
3.62000,76.14055,-11.64058,74.29202
3.64200,76.04672,-11.70692,73.14861
3.65400,75.96610,-11.82572,72.60941
3.67600,75.77631,-11.92371,71.55959
3.68800,75.69650,-12.02586,70.79984
3.71000,75.55399,-12.28239,69.50907
3.72200,75.52826,-12.35921,68.92487
3.74400,75.55192,-12.45494,68.08624
3.76600,75.61379,-12.34786,66.79669
3.77800,75.60455,-12.39038,66.10369
3.80000,75.42297,-12.62176,64.87395
3.81200,75.30074,-12.78104,64.27770
3.83400,75.07098,-13.03392,63.01208
3.84600,75.00837,-13.19882,62.19864
3.86800,74.80757,-13.58134,60.90284
3.89000,74.48088,-14.01556,59.90107
3.90200,74.26427,-14.21338,59.20654
3.92400,73.91636,-14.52022,57.84012
3.93600,73.73093,-14.69506,57.12920
3.95800,73.52444,-14.87158,56.00394
3.97000,73.35493,-14.91454,55.20714
3.99200,73.13065,-14.87721,53.56945
4.01400,72.98110,-14.85402,52.24789
4.02600,72.83605,-14.89660,51.41500
4.04800,72.39744,-15.16872,50.26829
4.06000,72.17848,-15.28732,49.70098
4.08200,71.91969,-15.43300,48.72179
4.09400,71.81290,-15.48130,48.18729
4.11600,71.64230,-15.65863,47.42285
4.12800,71.49123,-15.74947,47.03296
4.15000,71.24355,-15.87855,46.19707
4.17200,71.07388,-15.89597,45.22990
4.18400,70.97340,-15.96014,44.66603
4.20600,70.66074,-16.17967,43.62159
4.21800,70.44398,-16.22541,42.98061
4.24000,70.14395,-16.26493,41.83601
4.25200,70.01701,-16.36347,41.29357
4.27400,69.81646,-16.45955,40.47069
4.29600,69.59451,-16.53055,39.48655
4.30800,69.44696,-16.64382,39.13232
4.33000,69.19593,-16.85231,38.68615
4.34200,69.14930,-16.93287,38.42476
4.36400,69.13844,-17.11383,38.12326
4.37600,69.20103,-17.26878,38.13377
4.39800,69.30886,-17.43924,38.32336
4.41029,69.27930,-17.44555,38.21785
4.43200,69.22383,-17.38028,37.95264
