Time,Phi (degrees),Theta (degrees)
5.70100,81.93592,-3.43995
5.72300,82.20460,-2.92311
5.73500,82.32190,-2.73663
5.75700,82.37242,-2.49743
5.76900,82.42733,-2.37042
5.79100,82.57534,-2.12306
5.81300,82.61504,-1.91972
5.82500,82.70615,-1.73756
5.84700,82.82304,-1.47228
5.85900,82.88418,-1.32586
5.88100,83.02144,-1.07607
5.89300,83.06159,-1.00754
5.91500,83.18446,-0.74334
5.93700,83.33089,-0.35806
5.94900,83.43200,-0.17917
5.97100,83.50024,0.02708
5.98300,83.52391,0.15093
6.00500,83.55055,0.44412
6.01700,83.59293,0.63521
6.03900,83.67957,0.97189
6.06100,83.75752,1.32928
6.07300,83.82324,1.48105
6.09500,83.98112,1.76728
6.10700,84.02921,1.87473
6.12900,84.17250,2.25126
6.14100,84.26479,2.41617
6.16300,84.28637,2.63577
6.17500,84.30878,2.73615
6.19700,84.49918,2.89939
6.21900,84.65172,3.04860
6.23100,84.72852,3.07388
6.25300,84.83991,3.09147
6.26500,84.96163,3.12104
6.28700,85.11201,3.21110
6.29900,85.13583,3.22769
6.32100,85.11600,3.34142
6.34300,85.16187,3.50774
6.35500,85.15023,3.63908
6.37700,85.24118,3.88942
6.38900,85.23613,4.01094
6.41100,85.27163,4.32296
6.42300,85.33170,4.53347
6.44500,85.40602,4.90945
6.45700,85.43693,5.12323
6.47900,85.54144,5.44515
6.50100,85.60771,5.82361
6.51300,85.67683,6.02756
6.53500,85.61547,6.34136
6.54700,85.59834,6.45563
6.56900,85.48747,6.77214
6.58100,85.42007,6.79117
6.60300,85.18455,7.11266
6.62500,84.99259,7.40172
6.63700,85.02238,7.49413
6.65900,85.06159,7.82293
6.67100,85.10096,8.00665
6.69300,85.10493,8.20887
6.70500,84.97090,8.35050
6.72700,85.11560,8.59986
6.75400,85.20618,8.92514
6.76600,85.10219,9.07852
6.77800,85.10314,9.24241
6.80000,85.16290,9.56950
6.81200,85.06880,9.70393
6.83400,85.01262,9.99236
6.84600,85.03323,10.15360
6.86800,85.03973,10.35221
6.89000,85.17346,10.52197
6.90200,85.20917,10.61181
6.92400,85.42786,10.83729
6.93600,85.51159,10.93017
6.95800,85.46833,11.03289
6.97000,85.42063,11.12397
6.99200,85.33030,11.31033
7.01400,85.27500,11.48461
7.02600,85.29599,11.59461
7.04800,85.35667,11.87024
7.06000,85.39610,12.05241
7.08200,85.44676,12.40246
7.09400,85.42540,12.47380
7.11600,85.42544,12.37054
7.12800,85.44157,12.39725
7.15000,85.55846,12.42110
7.17200,85.64305,12.57553
7.18400,85.71847,12.66342
7.20600,85.71719,12.79137
7.21800,85.72904,12.89854
7.24000,85.82829,13.08725
7.25200,85.84320,13.16090
7.27400,85.82824,13.25879
7.29600,85.73234,13.40947
7.30800,85.76427,13.55930
7.33000,85.70486,13.79953
7.34200,85.57292,13.87708
7.36400,85.62241,14.03711
7.37600,85.56922,14.11284
7.39800,85.48765,14.36286
7.41000,85.49348,14.48176
7.43200,85.40170,14.67703
7.45400,85.31609,14.83203
7.46600,85.34254,14.96420
7.48800,85.35412,15.25381
7.50000,85.33221,15.34094
7.52200,85.31542,15.49921
7.53400,85.25633,15.54359
7.55600,85.29407,15.62676
7.57800,85.30373,15.69922
7.59000,85.12046,15.66403
7.61200,84.81238,15.60018
7.62400,84.75256,15.64485
7.64600,84.81442,15.78906
7.65800,84.88908,15.86038
7.68000,84.89140,15.93916
7.70200,85.01199,15.99887
7.71400,85.03245,16.00068
7.73600,85.17091,16.02538
7.74800,85.29720,16.06611
7.77000,85.38379,16.07490
7.78200,85.48137,16.06014
7.80400,85.44321,15.95217
7.81600,85.44186,15.90492
7.83800,85.34729,15.85080
7.86000,85.07249,15.70025
7.87200,85.03302,15.67418
7.89400,85.03320,15.68538
7.90600,85.01635,15.65460
7.92800,84.85332,15.60118
7.94000,84.84843,15.61819
7.96200,84.81832,15.63014
7.98400,84.67050,15.63015
7.99600,84.57973,15.60668
8.01800,84.52425,15.63976
8.03000,84.51978,15.68260
8.05200,84.52798,15.64544
8.06400,84.38224,15.57028
8.08600,84.29736,15.49605
8.10800,84.31499,15.46632
8.12000,84.31747,15.47382
8.14200,84.40704,15.49886
8.15400,84.41912,15.47766
8.17600,84.42896,15.46206
8.18800,84.44244,15.45086
8.21000,84.22486,15.32822
8.22200,84.11645,15.22619
8.24400,84.03258,15.12042
8.26600,84.07872,15.04955
8.27800,84.12681,15.00319
8.30000,84.21883,14.89827
8.31200,84.29299,14.84271
8.33400,84.28559,14.72017
8.34600,84.32022,14.62205
8.36800,84.38293,14.35031
8.39000,84.38052,13.96025
8.40200,84.42728,13.78396
8.42400,84.63428,13.57366
8.43600,84.70566,13.45059
8.45800,84.67863,13.15168
8.47000,84.69366,12.97207
8.49200,84.73966,12.68615
8.51400,84.80778,12.42659
8.52600,84.87852,12.29370
8.54800,85.02047,12.03321
8.56000,85.09686,11.82410
8.58200,85.19695,11.31129
8.59400,85.11266,10.97318
8.61600,85.14458,10.47530
8.62800,85.18381,10.26173
8.65000,85.21112,9.93824
8.67200,85.26409,9.66832
8.68400,85.20339,9.49574
8.70600,85.09084,8.99987
8.71800,85.04655,8.80995
8.74000,85.10894,8.64655
8.75700,85.21517,8.56892
8.76900,85.28523,8.53417
8.79100,85.44198,8.38057
8.81300,85.51487,8.06504
8.82500,85.49465,7.95786
8.84700,85.57322,7.54107
8.85900,85.59650,7.40651
8.88100,85.65350,7.06072
8.89300,85.66451,6.81234
8.91500,85.67586,6.18763
8.93700,85.60778,5.50423
8.94900,85.53925,5.15976
8.97100,85.14535,4.61781
8.98300,84.92154,4.37219
9.00500,84.53158,3.89171
9.01700,84.33224,3.64959
9.03900,84.13557,3.20724
9.05100,83.98611,2.90345
9.07300,83.81672,2.47566
9.09500,83.53209,1.96180
9.10700,83.38069,1.61706
9.12900,83.07832,1.02169
9.14100,82.91709,0.64959
9.16300,82.61873,-0.06166
9.17500,82.45414,-0.49224
9.19700,82.27733,-1.26595
9.21900,82.06909,-2.04185
9.23100,81.96725,-2.43743
9.25300,81.83188,-3.10544
9.26500,81.74657,-3.54659
9.28700,81.50076,-4.35420
9.29900,81.34129,-4.84301
9.32100,80.82571,-5.75503
9.34300,80.00567,-6.60770
9.35500,79.68511,-6.94242
9.37700,79.10926,-7.89557
9.38900,78.88535,-8.52472
9.41100,78.04585,-9.05744
9.42300,77.67525,-9.36405
9.44500,77.25183,-10.11633
9.45700,77.12049,-10.41549
9.47900,76.88422,-11.08063
9.50100,76.01629,-12.03228
9.51300,75.73611,-12.40578
9.53500,75.43159,-13.30739
9.54700,75.40063,-13.73347
9.56900,75.05811,-14.54068
9.58100,74.97988,-15.11448
9.60300,74.87244,-15.88205
9.62500,74.63300,-16.26526
9.63700,74.60651,-16.79613
9.65900,74.26784,-17.42022
9.67100,74.50391,-18.12404
9.69300,74.81796,-19.24124
9.70500,74.83966,-19.81240
9.72700,74.00574,-21.13366
9.74900,73.33170,-22.57794
9.76100,72.98392,-23.32091
9.78300,71.85590,-24.75956
9.79500,71.26006,-25.37088
9.81700,70.81505,-26.57081
9.82900,70.33979,-27.32586
9.85100,69.30092,-29.13772
9.86300,68.82236,-30.33430
9.88500,67.70210,-32.80640
9.90700,66.34997,-35.61641
9.91900,65.82648,-37.31964
9.94100,64.98921,-40.34016
9.95300,64.54982,-41.80464
